,24hr,7d,link,logo,marketcap,name,price,symbol,time
0, 0.29%, 3.98%,/currencies/bitcoin,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/1.png""/>",2.49808E+11,Bitcoin,13481.12,BTC,20201031005356page1
1, 0.76%, 7.05%,/currencies/ethereum,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png""/>",43329206243,Ethereum,382.67,ETH,20201031005356page1
2, 0.00%, 0.00%,/currencies/tether,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/825.png""/>",16542945144,Tether,1,USDT,20201031005356page1
3, 1.01%, 6.31%,/currencies/xrp,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/52.png""/>",10803834901,XRP,0.238576,XRP,20201031005356page1
4, 2.05%, 3.22%,/currencies/bitcoin-cash,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/1831.png""/>",4834420571,Bitcoin Cash,260.49,BCH,20201031005356page1
5, 0.87%, 9.19%,/currencies/chainlink,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/1975.png""/>",4303145485,Chainlink,11.02,LINK,20201031005356page1
6, 1.73%, 6.91%,/currencies/binance-coin,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png""/>",4121508960,Binance Coin,28.54,BNB,20201031005356page1
7, 0.48%, 2.33%,/currencies/litecoin,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/2.png""/>",3553489615,Litecoin,54.02,LTC,20201031005356page1
8, 2.84%, 4.23%,/currencies/polkadot-new,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png""/>",3520371091,Polkadot,4.13,DOT,20201031005356page1
9, 2.11%, 3.04%,/currencies/bitcoin-sv,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/3602.png""/>",3008013810,Bitcoin SV,162.09,BSV,20201031005356page1
10, 0.17%, 14.46%,/currencies/cardano,,2891252769,Cardano,0.092929,ADA,20201031005356page1
11, 0.00%, 0.02%,/currencies/usd-coin,,2879352916,USD Coin,1,USDC,20201031005356page1
12, 4.25%, 5.29%,/currencies/eos,,2341050160,EOS,2.5,EOS,20201031005356page1
13, 1.08%, 2.59%,/currencies/monero,,2175369663,Monero,122.6,XMR,20201031005356page1
14, 2.74%, 3.98%,/currencies/tron,,1831575076,TRON,0.025559,TRX,20201031005356page1
15, 5.82%, 17.84%,/currencies/crypto-com-coin,,1756992104,Crypto.com Coin,0.083561,CRO,20201031005356page1
16, 0.56%, 7.95%,/currencies/stellar,,1613459505,Stellar,0.077288,XLM,20201031005356page1
17, 0.26%, 3.41%,/currencies/wrapped-bitcoin,,1569255701,Wrapped Bitcoin,13391.47,WBTC,20201031005356page1
18, 0.80%, 13.71%,/currencies/tezos,,1427937479,Tezos,1.91,XTZ,20201031005356page1
19, 0.14%, 1.68%,/currencies/unus-sed-leo,,1269103419,UNUS SED LEO,1.27,LEO,20201031005356page1
20, 1.59%, 18.95%,/currencies/neo,,1036190576,Neo,14.69,NEO,20201031005356page1
21, 5.64%, 11.49%,/currencies/cosmos,,968541788,Cosmos,4.72,ATOM,20201031005356page1
22, 1.10%, 0.07%,/currencies/multi-collateral-dai,,932738273,Dai,1.01,DAI,20201031005356page1
23, 1.00%, 11.53%,/currencies/nem,,860786208,NEM,0.095643,XEM,20201031005356page1
24, 4.35%, 11.04%,/currencies/huobi-token,,829323238,Huobi Token,4.01,HT,20201031005356page1
25, 3.58%, 25.35%,/currencies/filecoin,,724809481,Filecoin,29.1,FIL,20201031005356page1
26, 2.65%, 7.11%,/currencies/iota,,718665453,IOTA,0.258556,MIOTA,20201031005356page1
27, 0.00%, 0.02%,/currencies/binance-usd,,710282892,Binance USD,0.9999,BUSD,20201031005356page1
28, 3.78%, 4.86%,/currencies/dash,,674435666,Dash,68.89,DASH,20201031005356page1
29, 0.09%, 16.61%,/currencies/vechain,,653340357,VeChain,0.010158,VET,20201031005356page1
30, 1.21%, 4.25%,/currencies/ethereum-classic,,610190570,Ethereum Classic,5.25,ETC,20201031005356page1
31, 2.59%, 5.73%,/currencies/theta,,602038337,THETA,0.602038,THETA,20201031005356page1
32, 1.60%, 7.82%,/currencies/zcash,,598093739,Zcash,57.68,ZEC,20201031005356page1
33, 0.87%, 10.90%,/currencies/maker,,524898684,Maker,523.25,MKR,20201031005356page1
34, 1.32%, 22.32%,/currencies/uniswap,,499957821,Uniswap,2.36,UNI,20201031005356page1
35, 2.63%, 16.58%,/currencies/omg,,405726856,OMG Network,2.89,OMG,20201031005356page1
